,Geo,Name,Website,Wiki
125,,Bauhaus Center,http://www.bauhaus-center.com/,/wiki/Bauhaus_Center
126,"(Decimal('32.0774416699999989077696227468550205230712890625'), Decimal('34.786847219999998515049810521304607391357421875'))",Tel Aviv Museum of Art,,/wiki/Tel_Aviv_Museum_of_Art
127,"(Decimal('32.0109611099999966654650052078068256378173828125'), Decimal('34.77760832999999962567017064429819583892822265625'))",Design Museum Holon,http://www.dmh.org.il/default.aspx,/wiki/Design_Museum_Holon
128,"(Decimal('35.1093130000000002155502443201839923858642578125'), Decimal('139.075204000000013593307812698185443878173828125'))",MOA Museum of Art,,/wiki/MOA_Museum_of_Art
129,"(Decimal('36.56083333000000124002326629124581813812255859375'), Decimal('136.658055560000008199494914151728153228759765625'))","21st Century Museum of Contemporary Art, Kanazawa",http://www.kanazawa21.jp/en/,"/wiki/21st_Century_Museum_of_Contemporary_Art,_Kanazawa"
130,,Kyoto National Museum,http://www.kyohaku.go.jp/eng/,/wiki/Kyoto_National_Museum
131,"(Decimal('35.01283611000000206558979698456823825836181640625'), Decimal('135.78356944000000794403604231774806976318359375'))",Kyoto Municipal Museum of Art,http://www.city.kyoto.jp/bunshi/kmma/en/,/wiki/Kyoto_Municipal_Museum_of_Art
132,,"National Museum of Modern Art, Kyoto",http://www.momak.go.jp/English/,"/wiki/National_Museum_of_Modern_Art,_Kyoto"
133,"(Decimal('35.0176000000000016143530956469476222991943359375'), Decimal('135.792900000000003046807250939309597015380859375'))",Sen-oku Hakuko Kan,,/wiki/Sen-oku_Hakuko_Kan
134,"(Decimal('34.91461111000000272497345576994121074676513671875'), Decimal('136.0228888899999901695991866290569305419921875'))",Miho Museum,,/wiki/Miho_Museum
135,"(Decimal('36.231751500000001442458597011864185333251953125'), Decimal('137.934443700000002763772499747574329376220703125'))",Japan Ukiyo-e Museum,,/wiki/Japan_Ukiyo-e_Museum
136,"(Decimal('34.6837000000000017507773009128868579864501953125'), Decimal('135.836399999999997589839040301740169525146484375'))",Nara National Museum,http://www.narahaku.go.jp/,/wiki/Nara_National_Museum
137,"(Decimal('34.23244444000000186179022421129047870635986328125'), Decimal('134.63766666999998733444954268634319305419921875'))",Ōtsuka Museum of Art,,/wiki/%C5%8Ctsuka_Museum_of_Art
138,"(Decimal('34.69178600000000045611159293912351131439208984375'), Decimal('135.492023999999986472175805829465389251708984375'))","National Museum of Art, Osaka",,"/wiki/National_Museum_of_Art,_Osaka"
139,"(Decimal('35.67888889000000318674210575409233570098876953125'), Decimal('139.771944439999998621715349145233631134033203125'))",Bridgestone Museum of Art,,/wiki/Bridgestone_Museum_of_Art
140,"(Decimal('35.63230555999999893401763984002172946929931640625'), Decimal('139.72688888999999790030415169894695281982421875'))",Hatakeyama Memorial Museum of Fine Art,http://www.ebara.co.jp/csr/hatakeyama/,/wiki/Hatakeyama_Memorial_Museum_of_Fine_Art
